PR ID,Product Requirement (PR),PR Description,SR ID,System Requirement (SR),SR Description
PR-65,Controls</br>(Accepted),NAATOS TB V1 must use controls to account for any processing errors (from sample to result),SR-406,[STC] Controls - sample prep</br>(Accepted),The STC shall use a control reagent to account for processing errors in sample preparation
,,,SR-445,[STC] Controls - SPC</br>(Accepted),"The STC shall contain a sample processing control (SPC) that can report failure of sample processing, amplification, or detection steps"
,,,SR-459,[TC] Controls - amplification</br>(Accepted),The TC shall contain nucleic acid amplification control reagents that are compatible with detection
,,,SR-462,[TC] Controls - detection capture</br>(Accepted),The TC shall contain detection reagents that capture amplification products specific to DNA control templates
,,,SR-407,[TC] Controls - detection flow</br>(Accepted),The TC shall contain detection reagents that capture flow control products
,,,SR-465,[TC] Controls - detection label</br>(Accepted),The TC shall contain detection reagents that label amplification products specific to DNA control templates
PR-22,Non-actionable indication</br>(Accepted),NAATOS TB V1 must indicate to users when a test result is non-actionable (indeterminant or invalid).,SR-345,[PM] Non-actionable indication - amplification abort</br>(Accepted),"While ""system-run-amplification-hold"" sub-state is active, if primary and secondary heating zones are not within 3 °C of amplification temperature setpoint, then the PM shall transition to the ""system-run-abort"" sub-state"
,,,SR-343,[PM] Non-actionable indication - amplification control abort</br>(Accepted),"While ""system-run-amplification-heat"" sub-state is active or ""system-run-amplification-hold"" sub-state is active or ""system-run-valve-heat"" sub-state is active or ""system-run-valve-hold"" sub-state is active, if heating zones exceed max temperature or test device is removed or board temperature > 60 ºC, then the PM shall transition to ""system-run-abort"" state"
,,,SR-350,[PM] Non-actionable indication - valve control abort</br>(Accepted),"While ""system-run-valve-hold"" sub-state is active, if secondary heating zone is not within TBD °C of valve temperature setpoint, then the PM shall transition to the ""system-run-abort"" sub-state"
,,,SR-351,[PM] Non-actionable indication - valve overheat abort</br>(Accepted),"While ""system-run-valve-hold"" sub-state is active, if primary heating zone is above 90 °C, then the PM shall transition to the ""system-run-abort"" sub-state"
,,,SR-249,[SPM] Non-actionable indication</br>(Accepted),"While ""system-run-abort"" sub-state is active, when a configurable abort duration elapses, the SPM shall transition to ""system-standby"" state"
,,,SR-254,[SPM] Non-actionable indication - max temp abort</br>(Accepted),"While ""system-run"" state is active, if the board temperature exceeds 60 °C, then the SPM shall transition to ""system-run-abort"" sub-state"
,,,SR-230,[SPM] Non-actionable indications - motor control abort</br>(Accepted),"While ""system-run-shake"" sub-state is active, if motor speed is not within TBD RPM of motor speed setpoint, then the SPM shall transition to ""system-run-abort"" sub-state"
,,,SR-221,[SPM] Non-actionable indications - temp control abort</br>(Accepted),"While ""system-run-hold"" sub-state is active, if heating zone is not within TBD °C of temperature setpoint, then the SPM shall transition to the ""system-run-abort"" sub-state"
PR-20,Non-actionable rate</br>(Accepted),NAATOS TB V1 non-actionable (indeterminate + invalid) rate must not exceed 5%.,SR-380,[TC] Storage stability</br>(Accepted),The TC shall not exceed required non-actionable rate after storage at 0 °C to 40 °C and at 15% to 90% RH for required shelf life in final packaging
PR-19,Result validity window</br>(Accepted),NAATOS TB V1 must have a result validity window of 2 hours after test completion in which test signals allow one interpretation.,SR-357,[TC] Result validity window</br>(Accepted),"When the TC is completed, the TC shall display the same result for at least 2 hours"
PR-21,Shock and vibration resistance</br>(Accepted),NAATOS TB V1 must withstand resistance to shocks and vibrations from drops by users of 90 cm TBR height without performance failures.,SR-286,[SPM] Shock and vibration resistance</br>(Accepted),"While ""system-run-shake"" state is active, and the SPM is suspended perpendicularly to the carriage direction, the SPM shall experience accelerations less than TBD m/s^2"
