PR ID,Product Requirement (PR),PR Description,SR ID,System Requirement (SR),SR Description
PR-27,Data display</br>(Accepted),NAATOS TB V1 must have a visual read out of the test result.,SR-392,[TC] Data display</br>(Accepted),The TC shall contain LFA test and control lines for visual test result interpretation
PR-31,Imaging-compatible read out</br>(Accepted),NAATOS TB V1 must present results compatible with imaging-based reader(s) [model(s) TBD] for electronic data recording.,SR-398,[TC] Imaging-compatible read out</br>(Accepted),The TC shall present results compatible with imaging-based reader(s) [model(s) TBD] for electronic data recording
PR-28,Patient identification</br>(Accepted),NAATOS TB V1 must include designated space to accurately record and display patient identifiers.,SR-394,[STC] Patient identification</br>(Accepted),"The STC include designated space to accurately record and display patient identifiers that is writeable with gel pen, ballpoint pen, or volatile solvent markers and proof or resistant to moisture and wiping"
,,,SR-446,[STC] Test identification</br>(Accepted),"The STC shall contain a label that minimally identifies the product name, part name, part number, and STC expiration date"
,,,SR-393,[TC] Patient identification</br>(Accepted),"The TC shall include designated space to accurately record and display patient identifiers that is writeable with gel pen, ballpoint pen, or volatile solvent markers and proof or resistant to moisture and wiping"
,,,SR-454,[TC] Test identification</br>(Accepted),"The TC shall contain a label that minimally identifies the product name, part name, part number, and TC expiration date"
PR-29,Post-opening stability</br>(Accepted),NAATOS TB V1 must have open package stability of at least 60 minutes in maximum required operating environment temperature and humidity.,SR-397,[SCC] Post-opening stability</br>(Accepted),The SCC shall have open package stability of at least 60 minutes in maximum required operating environment temperature and humidity
,,,SR-396,[STC] Post-opening stability</br>(Accepted),The STC shall have open package stability of at least 60 minutes in maximum required operating environment temperature and humidity
,,,SR-381,[TC] Post-opening stability</br>(Accepted),The TC shall have open-package stability of at least 60 minutes in maximum required operating environment temperature and humidity
PR-25,Random access</br>(Accepted),NAATOS TB V1 must offer random access capability to run parallel analyses of tests.,,,
PR-26,Sample capacity and throughput</br>(Obsolete),NAATOS TB V1 must be able to perform more than one sample at the same time.,,,
PR-24,User interactions</br>(Accepted),NAATOS TB V1 must not require more than 3 user interactions after collecting the specimen and before recording the result.,SR-354,[PM] User interactions</br>(Accepted),"While ""system-run-abort"" sub-state is active, when abort time elapses and test device is removed, the PM shall transition to ""stand-by"" state"
,,,SR-334,"[PM] User interactions - ""power-off"" state</br>(Accepted)","When the ""power"" switch is switched to off, the PM shall transition to the ""power-off"" state"
,,,SR-342,[PM] User interactions - automate amplification hold</br>(Accepted),"While ""system-run-amplification-heat"" sub-state is active, when the amplification temperature setpoint - 3 °C is reached, the PM shall transition to the ""system-run-amplification-hold"" sub-state"
,,,SR-339,[PM] User interactions - automate amplification ramp</br>(Accepted),"When ""system-run"" state begins, the PM shall start in ""system-run-amplification-heat"" sub-state"
,,,SR-353,[PM] User interactions - automate return to stand-by</br>(Accepted),"While ""system-run-invalid"" sub-state is active or ""system-run-complete"" sub-state is active or (""system-run-abort"" sub-state is active and abort timer is elapsed), when test device is removed, the PM shall transition to ""stand-by"" state"
,,,SR-337,[PM] User interactions - automate system run</br>(Accepted),"While ""stand-by"" state is active and the lid is closed and battery SoC is above threshold, when the test device is inserted, the PM shall transition to ""system-run"" state"
,,,SR-348,[PM] User interactions - automate valve hold</br>(Accepted),"While ""system-run-valve-heat"" sub-state is active, when valve temperature setpoint - TBD °C is reached, the PM shall transition to the ""system-run-valve-hold"" sub-state"
,,,SR-346,[PM] User interactions - automate valve ramp</br>(Accepted),"While ""system-run-amplification-hold"" sub-state is active, when the amplification heating duration elapses, the PM shall transition to ""system-run-valve-heat"" sub-state"
,,,SR-299,[PM] User interactions - insertion alignment</br>(Accepted),The PM shall exclude incorrect alignment of test device
,,,SR-301,[PM] User interactions - insertion sensor config</br>(Accepted),The PM shall allow configuration of sensor threshold for test consumable insertion detection
,,,SR-338,[PM] User interactions - max temp lockout</br>(Accepted),"While ""stand-by"" state is active, if the heater zones are above a configurable minimum temperature lockout (default TBD °C), then the PM shall prevent transition to ""system-run"" state"
,,,SR-293,[PM] User interactions - power switch</br>(Accepted),"The PM shall have a ""power"" switch"
,,,SR-352,[PM] User interactions - removal</br>(Accepted),"While ""system-run-complete"" is active, when test device is removed, the PM shall transition to ""stand-by"" state"
,,,SR-240,[SPM] User interactions</br>(Accepted),"The SPM shall have a ""run"" button"
,,,SR-241,[SPM] User interactions</br>(Accepted),"While ""stand-by"" state is active and the lid is closed and the board temperature is < 60 °C and sufficient battery power is available, when the ""run"" button is pressed, the SPM shall transition to ""system-run"" state"
,,,SR-250,[SPM] User interactions</br>(Accepted),The SPM shall allow configuration of sensor threshold for lid open/close detection
,,,SR-246,[SPM] User interactions</br>(Accepted),The SPM shall detect lid open/close state
,,,SR-253,[SPM] User interactions</br>(Accepted),"When ""system-run-complete"" sub-state begins, the SPM shall transition to ""stand-by"" state"
,,,SR-234,[SPM] User interactions</br>(Accepted),"While ""system-run-shake"" sub-state is active, when a configurable shaking duration elapses, the SPM shall transition to ""run-complete"" sub-state"
,,,SR-229,[SPM] User interactions</br>(Accepted),"While ""system-run-shake"" sub-state is active, the SPM shall maintain tube holder shake speed using a configurable motor speed (default 3925 RPM / 60 s/min = 65 Hz shake speed)"
,,,SR-228,[SPM] User interactions</br>(Accepted),"While ""system-run-shake"" sub-state is active, the SPM shall shake tube holder with a minimum throw of 7 ± TBD mm"
,,,SR-290,[SPM] User interactions</br>(Accepted),"While ""system-run-shake"" sub-state is active, the SPM shall control the heating zone temperature to a configurable setpoint (default = 95 ºC)"
,,,SR-227,[SPM] User interactions</br>(Accepted),"While ""system-run-hold"" sub-state is active, when the heating duration elapses, the SPM shall transition to ""system-run-shake"" sub-state"
,,,SR-219,[SPM] User interactions</br>(Accepted),"While ""system-run-heat"" sub-state is active, when the temperature setpoint - TBD °C is reached, the SPM shall transition to the ""system-run-hold"" sub-state"
,,,SR-217,[SPM] User interactions</br>(Accepted),"When ""system-run"" state begins, the SPM shall start in ""system-run-heat"" sub-state"
,,,SR-291,"[SPM] User interactions - ""power-off"" state</br>(Accepted)","When the ""power"" switch is switched to off, the SPM shall transition to the ""power-off"" state"
,,,SR-237,[SPM] User interactions - power switch</br>(Accepted),"The SPM shall have a ""power"" switch"
,,,SR-358,[TC] User interactions</br>(Accepted),The TC shall not require a user interaction to transfer between amplification and detection reactions
PR-30,Visual read out</br>(Accepted),NAATOS TB V1 must present results for visual read out and manual data recording.,SR-391,[TC] Visual read out</br>(Accepted),"The TC shall contain a transparent, colorless viewing window for visual test result interpretation"
PR-23,Waste disposal - infectious</br>(Accepted),NAATOS TB V1 must render infectious samples biosafe such that they can be disposed of as non-infectious waste when appropriate per local rules and regulations.,SR-421,[SCC] Waste disposal - infectious</br>(Accepted),The SCC shall be single use
,,,SR-235,[SPM] Waste disposal - infectious</br>(Accepted),"While ""system-run-shake"" sub-state is active, the SPM shall maintain sample temperature above 75 °C"
,,,SR-242,[SPM] Waste disposal - infectious</br>(Accepted),"While ""system-run"" state is active and ""system-run-heat"" or ""system-run-hold"" or ""system-run-shake"" sub-state is active, when the ""run"" button is pressed, the SPM shall transition to ""system-run-abort"" sub-state"
,,,SR-258,[SPM] Waste disposal - infectious</br>(Accepted),"While ""system-run"" state is active, if the lid is opened, then the SPM shall transition to ""system-run-abort"" sub-state"
,,,SR-226,[SPM] Waste disposal - infectious</br>(Accepted),"While ""system-run"" state is active, if heating zone exceeds a configurable max temperature, then the SPM shall transition to ""system-run-abort"" state"
,,,SR-444,[STC] Waste disposal - infectious</br>(Accepted),"When processed in the SPM, the STC shall render infectious samples biosafe such that they can be disposed of as non-infectious waste when appropriate per local rules and regulations"
,,,SR-453,[TC] Waste disposal - infectious</br>(Accepted),The TC shall be disposed of as non-infectious waste when appropriate per local rules and regulations
